,N=100,N=200,N=300,N=400,N=500
K=100,47.6416,49.8428,50.5774,50.7836,50.7826
K=110,43.8112,45.7565,46.2905,46.3648,46.2735
K=120,40.1117,41.7144,42.0291,41.9677,41.8064
K=130,36.5878,37.71,37.817,37.6456,37.3801
K=140,33.2561,33.8509,33.6851,33.3383,32.9682
K=150,30.2147,30.1776,29.6076,29.0664,28.6075
K=160,27.433,26.8796,25.8023,24.9699,24.3122
K=170,24.8764,23.9653,22.6179,21.3638,20.3795
K=180,22.5376,21.4087,19.8596,18.4127,17.2323
K=190,20.3868,19.1316,17.4455,15.9615,14.6708
K=200,18.4066,17.0791,15.3596,13.8524,12.5441
