,N=100,N=200,N=300,N=400,N=500
K=100,14.4936,9.8048,7.13138,5.34818,4.08403
K=110,12.0866,8.19089,5.96299,4.47467,3.41836
K=120,9.8789,6.70067,4.88096,3.664,2.79974
K=130,7.87843,5.34364,3.89331,2.923,2.23377
K=140,6.10781,4.1411,3.01665,2.2644,1.73023
K=150,4.59276,3.11366,2.26688,1.70026,1.29924
K=160,3.358,2.26865,1.64977,1.2372,0.944864
K=170,2.37403,1.59823,1.16197,0.870895,0.664637
K=180,1.62328,1.08941,0.791847,0.593361,0.452464
K=190,1.07743,0.723356,0.524675,0.393317,0.299953
K=200,0.702247,0.469559,0.340341,0.25402,0.193931
